action,video_id,title,extra
"updated","5T-hmXAQBFw","Новая версия эмулятора windows 3.11","desc_len=381"
"updated","KcOqoVL4Zng","Эксперементы с Linux, windows 3.11 на ядре Linux.","desc_len=328"
"updated","LhCrEEutDto","Как поменять обои в Linux Mint","desc_len=328"
"updated","0mUJROYTSms","Доступ к информационному ресурсу ограничен на основании федерального закона как обойти","desc_len=369"
"updated","PNJPlEslW88","Список онлайн сервисов в описании","desc_len=1164"
"updated","3zoLO5DluWE","Как скачивать файлы через Transmission torrent","desc_len=328"
"updated","zuWbSA6w3xY","Установка программ в linux, через терминал","desc_len=254"
"updated","FKA-3dDxlFw","Установка fasm в Ubuntu / Linux Mint / Debian","desc_len=254"
"updated","4N4ap-LUWow","Почему лучше перейти с Windows на Linux","desc_len=328"
"updated","ws5DBH0iolM","Краткий обзор ASM EDITOR/ Графический интерфейс для assembler""а","desc_len=254"
"updated","IfhfIr5ch8w","Влог: собрал себе супер компьютер за шаверму.","desc_len=89"
"updated","EHQRbEHaNYA","Прикрутил ASM Editor к ASM86","desc_len=333"
"updated","q-goNpZy_NI","Прохождение Quake 1 5-часть /под dosbox","desc_len=254"
"updated","miSoLSf65GU","Разработка эмулятора cp/m86","desc_len=327"
"updated","dUZgwHB9hCo","Прохождение Quake 1  4-часть, на dosbox. /без коментариев.","desc_len=254"
"updated","GZcClvkZ9bQ","Прохождение Quake 1 1-3 часть, на dosbox. /без коментариев.","desc_len=254"
"updated","vzbh0pLMMpo","Осторожно! DriverPack Solution превратит ваш компьютер в помойку.","desc_len=254"
"updated","XHz7DB_JHP4","Как создать папку в репозитории, на github через браузер","desc_len=254"
"updated","ov46vmyIJak","Как удалить папку windows.old","desc_len=328"
"updated","WlmQ2sDq5oQ","Обзор ccleaner free","desc_len=254"
"updated","NwlaOE6JUS4","Активация встроенной учетной записи Администратора через Open Tweaker","desc_len=336"
"updated","5sY08Wcr5gU","Получится ли обнавить windows 7, до windows 11, через инстолятор windows vista.","desc_len=0"
"updated","jVPoC1L5y3w","Как установить MS-DOS 6.22 за 1 минуту","desc_len=309"
"updated","n7P2QRqVplI","Как создать вирус trojan, на bat, который может заржать файлы","desc_len=372"
"updated","54-kiu8-dwk","Ускоряем windows в 10 раз с помощью Open Tweaker","desc_len=338"
"updated","HARym-R98ps","Написал Open Tweaker","desc_len=564"
"updated","yEf0ULozHwU","Краткий обзор HTML Notepad","desc_len=344"
"updated","Qy7RLASBZMk","Разработка Open Tweaker","desc_len=335"
"updated","sDZTWV9ohAE","Обзор онлайн эмулятора Virtual x86","desc_len=289"
"updated","mO8zMwYCOFM","Как бесплатно создать форум без программирования.","desc_len=359"
"updated","t88myprQNQM","FileZilla - как подключить сайт или ftp сервер","desc_len=309"
"updated","Vp1OZmMlg8g","Обзор textolite админки для сайта","desc_len=303"
"updated","yjivWxxH0eE","Как загружать файлы на GITHUB, через браузер.","desc_len=254"
"updated","fbNHxYtsiOw","Как пользоваться программой  Cryptor","desc_len=254"
"updated","isWaRDA1ZZM","Обзор Enigma Virtual Box, виртуализация программ.","desc_len=254"
"updated","pitIbPKIBz8","как пользоваться vbs to exe конвертором","desc_len=254"
"updated","EiI-liN7oQQ","Как скачать сайт на компьютер /WinHTTrack Website Copier","desc_len=325"
"updated","HD_0Uyraoig","Изучаем virtualbox","desc_len=255"
"updated","HcnmTgehx7g","Изучаем AutoPlay Menu Builder","desc_len=255"
"updated","loJD-owGORM","Обзор эмулятора ms-dos, vDosPlus. Ужас да и только!","desc_len=255"
"updated","28n053ewuzc","mInstaller создания полноценных инсталляторов под Windows","desc_len=353"
"updated","TEikMcgp7Oo","Запускаем DOOM95, на windows 10","desc_len=324"
"updated","8jCI2-i0_Gk","КАК ЗАГРУЖАТЬ ФАЙЛЫ НА Old-DOS","desc_len=354"
"updated","kE0kxHB6VSY","Полный обзор bat to exe конвертора.","desc_len=255"
"updated","GcW9rRuh5c8","Обзор эмулятора KEmulator,  для запуска игр для Nokia, на java","desc_len=255"
"updated","XngVe6AV-5o","Тест вируса USSR, на реальном компьютере","desc_len=255"
